"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",587,530,529,579,559,534,551,508
"2",330,265,270,253,311,301,265,274
"3",181,128,147,148,150,152,140,150
"4",83,51,54,67,72,73,68,77
"5",24,22,28,21,35,29,28,24
"6",3,11,8,11,7,8,6,7
"7",3,4,5,3,2,6,8,1
"8",4,1,1,5,2,5,5,2
