"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",402,354,324,327,260,235,174,133
"2",145,113,106,94,82,70,36,18
"3",45,29,21,27,18,9,7,2
"4",7,4,8,13,10,1,0,0
"5",0,3,2,2,1,1,0,0
"6",1,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1,0
"8",0,1,0,0,0,0,0,0
