"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",181,188,190,197,191,182,171,174
"2",119,92,96,97,90,103,97,84
"3",65,35,40,49,55,54,46,48
"4",30,17,15,22,21,28,29,27
"5",3,5,7,6,12,9,9,10
"6",2,4,2,4,1,5,3,3
"7",2,1,1,0,0,2,3,1
"8",2,0,0,1,2,3,0,1
