"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",316,289,294,319,293,315,288,265
"2",153,112,115,108,151,128,120,134
"3",70,50,59,58,61,57,69,55
"4",31,21,23,33,24,26,25,31
"5",9,11,13,5,13,15,5,6
"6",0,2,1,4,4,3,1,1
"7",1,2,1,3,1,2,4,0
"8",2,1,1,2,0,2,3,1
