"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",178,200,169,206,193,216,195,154
"2",130,76,108,91,100,93,96,90
"3",66,40,51,47,45,58,38,52
"4",23,14,27,19,25,24,23,24
"5",11,4,12,8,8,17,13,7
"6",3,4,10,4,1,3,6,4
"7",1,1,1,0,1,0,2,0
"8",1,2,1,0,1,1,0,2
