"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",282,281,278,297,278,280,238,279
"2",153,108,112,143,161,140,141,104
"3",58,63,51,52,62,60,58,52
"4",30,18,28,26,25,31,27,28
"5",10,6,11,16,19,8,9,14
"6",2,5,2,5,5,6,11,4
"7",1,1,5,3,3,2,4,3
"8",0,0,2,1,0,2,0,1
