"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",640,578,594,646,588,636,582,536
"2",310,226,230,216,302,256,242,268
"3",142,100,118,116,122,116,140,110
"4",62,42,46,66,48,52,52,62
"5",18,22,26,10,26,30,10,12
"6",0,4,2,8,8,6,2,2
"7",2,4,2,6,2,4,8,0
"8",4,2,2,4,0,4,6,2
