"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",264,218,178,214,174,182,132,88
"2",110,92,70,60,60,38,22,12
"3",36,24,22,20,14,12,4,0
"4",2,0,6,8,8,0,0,0
"5",0,0,0,0,2,0,0,0
"6",2,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,2,0
"8",0,0,0,0,0,0,0,0
