"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",312,289,299,304,288,281,296,288
"2",149,120,152,140,144,138,150,134
"3",55,54,51,53,70,71,71,56
"4",33,25,28,36,28,40,23,22
"5",12,12,8,12,13,3,9,8
"6",5,10,4,5,5,5,4,2
"7",1,2,3,3,2,2,2,0
"8",2,0,1,3,0,2,0,1
