"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",183,175,177,179,167,171,149,175
"2",107,74,78,109,117,100,95,81
"3",48,51,42,42,48,47,45,41
"4",25,15,22,25,23,26,25,25
"5",9,4,11,11,17,8,7,13
"6",2,5,2,5,5,6,11,2
"7",1,1,5,3,3,2,4,3
"8",0,0,2,1,0,2,0,1
