"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",378,323,299,364,319,346,336,355
"2",154,130,139,167,130,161,150,140
"3",80,45,87,57,76,72,71,54
"4",47,22,34,31,33,29,25,26
"5",12,7,9,14,13,13,7,11
"6",1,4,7,7,8,10,2,9
"7",0,0,1,1,5,1,1,1
"8",1,0,2,2,4,0,1,0
