"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",137,125,123,99,89,66,68,30
"2",51,31,51,27,23,19,17,4
"3",12,6,10,6,10,6,2,1
"4",5,3,3,6,3,4,0,0
"5",1,2,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
