"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",637,590,587,612,578,617,567,553
"2",282,222,237,251,283,276,245,252
"3",141,98,123,104,124,126,136,109
"4",64,51,51,57,57,58,49,52
"5",21,19,28,23,26,29,14,15
"6",6,12,7,12,10,12,7,6
"7",2,3,4,5,2,4,5,2
"8",6,3,4,4,2,2,6,2
