"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",427,371,339,401,371,380,354,388
"2",217,192,221,220,208,209,198,165
"3",117,76,114,97,111,110,107,85
"4",71,40,55,50,51,49,36,46
"5",17,16,16,22,19,24,12,22
"6",6,9,11,12,10,12,9,8
"7",2,5,3,3,7,3,2,4
"8",2,5,6,4,8,2,2,1
