"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",280,221,207,221,197,162,129,68
"2",83,68,80,70,62,50,27,15
"3",34,18,29,20,13,6,7,2
"4",11,5,8,7,5,4,1,0
"5",4,4,2,3,1,0,0,1
"6",1,0,0,0,0,1,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
