"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3672,3431,3385,3682,3409,3540,3369,3325
"2",1777,1419,1601,1623,1652,1683,1584,1431
"3",805,637,742,675,764,763,720,677
"4",347,273,326,336,356,342,307,294
"5",130,96,123,137,152,131,109,116
"6",34,71,59,61,44,61,58,52
"7",12,17,29,21,19,26,29,15
"8",18,17,19,24,17,14,16,15
