"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",600,568,571,606,586,567,551,558
"2",299,224,293,283,267,274,271,241
"3",138,107,106,118,140,121,119,113
"4",51,46,47,60,57,57,66,51
"5",17,17,14,15,27,20,20,19
"6",5,13,7,6,7,13,5,8
"7",4,2,6,3,2,9,6,1
"8",2,3,1,1,5,5,2,2
