"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1571,1375,1324,1244,1147,915,718,469
"2",563,399,464,379,335,257,151,71
"3",163,132,123,104,89,57,33,11
"4",49,40,38,42,33,17,4,1
"5",11,10,8,9,8,1,0,1
"6",4,0,1,0,0,1,0,0
"7",0,0,1,0,0,0,1,0
"8",0,1,1,1,0,0,0,0
