"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",577,526,554,546,538,513,531,522
"2",302,251,294,289,317,280,298,263
"3",148,136,138,126,162,159,154,131
"4",75,67,72,78,79,89,74,59
"5",30,28,26,36,36,22,23,25
"6",14,28,15,15,16,22,10,9
"7",4,4,10,8,5,11,6,2
"8",5,4,5,5,5,4,5,3
