"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",314,299,290,286,283,297,276,282
"2",126,109,119,143,130,148,123,117
"3",70,47,64,45,62,68,65,54
"4",33,30,28,24,33,32,23,21
"5",12,8,15,18,13,14,9,9
"6",6,10,6,8,6,9,5,5
"7",1,1,3,2,1,2,1,2
"8",3,2,3,2,2,0,3,1
