"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.414054054054054,0.393023255813953,0.394977168949772,0.31489841986456,0.338389731621937,0.247933884297521,0.220398593200469,0.132941176470588
"2",0.294964028776978,0.247813411078717,0.304449648711944,0.22877358490566,0.178313253012048,0.117359413202934,0.0862068965517241,0.0463215258855586
"3",0.215469613259669,0.144654088050314,0.209302325581395,0.140127388535032,0.132352941176471,0.0904522613065327,0.0456852791878173,0.0180722891566265
"4",0.156626506024096,0.185185185185185,0.0843373493975904,0.119565217391304,0.0769230769230769,0.0618556701030928,0.024390243902439,0
"5",0.105263157894737,0.0967741935483871,0.0333333333333333,0,0.05,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
