"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",299,272,287,296,286,269,281,280
"2",142,114,156,141,141,123,133,116
"3",56,58,57,59,72,60,61,56
"4",17,26,27,32,30,25,36,21
"5",14,11,7,8,14,8,10,9
"6",3,9,5,2,6,8,1,5
"7",2,1,5,3,2,7,3,0
"8",0,2,1,0,3,2,2,1
