"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1131,1056,1080,1081,1038,1057,1001,1019
"2",611,520,592,568,628,561,563,491
"3",286,273,282,267,322,308,297,264
"4",144,125,147,145,149,166,141,121
"5",59,46,54,68,72,52,42,58
"6",24,46,27,33,28,35,34,17
"7",8,10,19,14,12,18,14,11
"8",11,10,13,15,10,9,8,8
