"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1940,1804,1699,1977,1775,1883,1810,1745
"2",959,736,800,838,827,889,811,753
"3",468,311,398,353,376,395,356,360
"4",190,127,163,169,184,168,159,168
"5",58,41,62,60,76,75,62,56
"6",10,24,33,28,18,29,24,30
"7",4,7,9,8,9,8,15,4
"8",8,8,6,9,7,6,8,7
