"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1795,1691,1736,1769,1702,1714,1610,1647
"2",851,707,838,812,852,819,796,704
"3",351,336,353,330,400,384,382,330
"4",162,150,170,171,176,183,155,134
"5",73,55,62,79,79,57,50,61
"6",24,47,27,34,29,35,34,22
"7",8,10,20,14,12,18,14,11
"8",11,10,13,15,10,9,8,8
